,inv,inc,consump,qtr,ln_inv,dln_inv,ln_inc,dln_inc,ln_consump,dln_consump
23,307,763,668,1965-10-01,5.72684764862,0.00981998443604,6.63725805283,0.0158524513245,6.50428819656,0.0227112770081
24,317,766,679,1966-01-01,5.75890159607,0.0320539474487,6.6411819458,0.00392389297485,6.52062129974,0.0163331031799
25,314,779,686,1966-04-01,5.7493929863,-0.00950860977173,6.65801095963,0.0168290138245,6.53087759018,0.0102562904358
26,306,808,697,1966-07-01,5.72358512878,-0.0258078575134,6.69456195831,0.0365509986877,6.54678535461,0.0159077644348
27,304,785,688,1966-10-01,5.71702766418,-0.00655746459961,6.66568374634,-0.0288782119751,6.53378868103,-0.012996673584
28,292,794,704,1967-01-01,5.6767539978,-0.0402736663818,6.67708349228,0.0113997459412,6.55677843094,0.0229897499084
29,275,799,699,1967-04-01,5.61677122116,-0.0599827766418,6.68336105347,0.00627756118774,6.5496506691,-0.00712776184082
30,273,799,709,1967-07-01,5.60947179794,-0.00729942321777,6.68336105347,0.0,6.56385564804,0.0142049789429
31,301,812,715,1967-10-01,5.70711040497,0.0976386070251,6.69950056076,0.0161395072937,6.5722823143,0.00842666625977
32,280,837,724,1968-01-01,5.63478946686,-0.0723209381104,6.72982406616,0.0303235054016,6.58479118347,0.0125088691711
33,289,853,746,1968-04-01,5.66642665863,0.0316371917725,6.74875974655,0.0189356803894,6.61472558975,0.0299344062805
34,303,876,758,1968-07-01,5.71373271942,0.047306060791,6.7753663063,0.0266065597534,6.63068342209,0.0159578323364
35,322,897,779,1968-10-01,5.7745513916,0.0608186721802,6.79905605316,0.0236897468567,6.65801095963,0.0273275375366
36,315,922,798,1969-01-01,5.75257253647,-0.0219788551331,6.82654523849,0.0274891853333,6.68210840225,0.024097442627
37,339,949,816,1969-04-01,5.82600021362,0.0734276771545,6.85540866852,0.0288634300232,6.70441436768,0.0223059654236
38,364,979,837,1969-07-01,5.89715385437,0.0711536407471,6.88653182983,0.0311231613159,6.72982406616,0.0254096984863
39,371,988,858,1969-10-01,5.91620206833,0.0190482139587,6.89568281174,0.00915098190308,6.75460386276,0.0247797966003
40,375,1025,881,1970-01-01,5.92692613602,0.010724067688,6.93244791031,0.0367650985718,6.78105783463,0.0264539718628
41,432,1063,905,1970-04-01,6.06842565536,0.141499519348,6.96885061264,0.0364027023315,6.80793476105,0.0268769264221
42,453,1104,934,1970-07-01,6.11589193344,0.0474662780762,7.00669527054,0.0378446578979,6.83947658539,0.0315418243408
43,460,1131,968,1970-10-01,6.13122653961,0.0153346061707,7.03085756302,0.0241622924805,6.8752322197,0.0357556343079
44,475,1137,983,1971-01-01,6.16331481934,0.0320882797241,7.03614854813,0.00529098510742,6.89060926437,0.0153770446777
45,496,1178,1013,1971-04-01,6.20657587051,0.043261051178,7.07157325745,0.0354247093201,6.92067146301,0.0300621986389
46,494,1211,1034,1971-07-01,6.20253562927,-0.00404024124146,7.09920167923,0.0276284217834,6.94119024277,0.0205187797546
47,498,1256,1064,1971-10-01,6.21059989929,0.00806427001953,7.13568735123,0.0364856719971,6.96979045868,0.0286002159119
48,526,1290,1101,1972-01-01,6.26530122757,0.0547013282776,7.16239738464,0.0267100334167,7.00397396088,0.0341835021973
49,519,1314,1102,1972-04-01,6.25190401077,-0.0133972167969,7.18083143234,0.018434047699,7.00488185883,0.000907897949219
50,516,1346,1145,1972-07-01,6.2461066246,-0.00579738616943,7.20489263535,0.0240612030029,7.0431599617,0.0382781028748
51,531,1385,1173,1972-10-01,6.27476215363,0.0286555290222,7.23345518112,0.0285625457764,7.06731987,0.0241599082947
52,573,1416,1216,1973-01-01,6.35088586807,0.076123714447,7.25559139252,0.0221362113953,7.10332202911,0.0360021591187
53,551,1436,1229,1973-04-01,6.31173467636,-0.0391511917114,7.26961660385,0.0140252113342,7.11395597458,0.0106339454651
54,538,1462,1242,1973-07-01,6.28785848618,-0.0238761901855,7.28756046295,0.0179438591003,7.12447834015,0.0105223655701
55,532,1493,1267,1973-10-01,6.27664327621,-0.0112152099609,7.30854272842,0.0209822654724,7.14440727234,0.0199289321899
56,558,1516,1295,1974-01-01,6.32435894012,0.0477156639099,7.32383060455,0.0152878761292,7.16626596451,0.0218586921692
57,524,1557,1317,1974-04-01,6.26149177551,-0.0628671646118,7.35051631927,0.0266857147217,7.18311166763,0.016845703125
58,525,1613,1355,1974-07-01,6.26339817047,0.0019063949585,7.38585090637,0.0353345870972,7.21155691147,0.0284452438354
59,519,1642,1371,1974-10-01,6.25190401077,-0.0114941596985,7.40367031097,0.0178194046021,7.22329568863,0.0117387771606
60,526,1690,1402,1975-01-01,6.26530122757,0.0133972167969,7.4324836731,0.0288133621216,7.24565505981,0.0223593711853
61,510,1759,1452,1975-04-01,6.23441076279,-0.0308904647827,7.47250080109,0.0400171279907,7.28069734573,0.0350422859192
62,519,1756,1485,1975-07-01,6.25190401077,0.0174932479858,7.47079372406,-0.00170707702637,7.30317020416,0.022472858429
63,538,1780,1516,1975-10-01,6.28785848618,0.0359544754028,7.48436880112,0.0135750770569,7.32383060455,0.0206604003906
64,549,1807,1549,1976-01-01,6.30809831619,0.0202398300171,7.49942350388,0.0150547027588,7.34536504745,0.0215344429016
65,570,1831,1567,1976-04-01,6.3456363678,0.0375380516052,7.51261758804,0.0131940841675,7.35691833496,0.0115532875061
66,559,1873,1588,1976-07-01,6.32614946365,-0.0194869041443,7.53529691696,0.0226793289185,7.37023067474,0.0133123397827
67,584,1897,1631,1976-10-01,6.36990118027,0.0437517166138,7.54802894592,0.0127320289612,7.39694881439,0.0267181396484
68,611,1910,1650,1977-01-01,6.4150967598,0.0451955795288,7.55485868454,0.00682973861694,7.40853071213,0.0115818977356
69,597,1943,1685,1977-04-01,6.3919172287,-0.0231795310974,7.57198858261,0.0171298980713,7.42952060699,0.0209898948669
70,603,1976,1722,1977-07-01,6.40191698074,0.00999975204468,7.5888299942,0.0168414115906,7.45124149323,0.0217208862305
71,619,2018,1752,1977-10-01,6.42810535431,0.0261883735657,7.60986232758,0.021032333374,7.46851348877,0.0172719955444
72,635,2040,1774,1978-01-01,6.45362520218,0.0255198478699,7.62070512772,0.0108428001404,7.4809923172,0.0124788284302
73,658,2070,1807,1978-04-01,6.48920488358,0.0355796813965,7.63530397415,0.0145988464355,7.49942350388,0.018431186676
74,675,2121,1831,1978-07-01,6.51471281052,0.0255079269409,7.65964317322,0.0243391990662,7.51261758804,0.0131940841675
75,700,2132,1842,1978-10-01,6.5510802269,0.0363674163818,7.66481590271,0.00517272949219,7.51860713959,0.00598955154419
76,692,2199,1890,1979-01-01,6.5395860672,-0.0114941596985,7.69575786591,0.0309419631958,7.54433202744,0.0257248878479
77,759,2253,1958,1979-04-01,6.63200187683,0.0924158096313,7.72001791,0.0242600440979,7.5796790123,0.0353469848633
78,782,2276,1948,1979-07-01,6.66185474396,0.0298528671265,7.73017501831,0.0101571083069,7.57455825806,-0.00512075424194
79,816,2318,1994,1979-10-01,6.70441436768,0.0425596237183,7.74845981598,0.0182847976685,7.59789800644,0.0233397483826
80,844,2369,2061,1980-01-01,6.73815250397,0.0337381362915,7.77022314072,0.0217633247375,7.6309466362,0.0330486297607
81,830,2423,2056,1980-04-01,6.72142553329,-0.0167269706726,7.79276180267,0.0225386619568,7.62851762772,-0.00242900848389
82,853,2457,2102,1980-07-01,6.74875974655,0.0273342132568,7.80669641495,0.0139346122742,7.65064477921,0.0221271514893
83,852,2470,2121,1980-10-01,6.74758672714,-0.00117301940918,7.81197357178,0.00527715682983,7.65964317322,0.00899839401245
84,833,2521,2145,1981-01-01,6.72503376007,-0.0225529670715,7.83241081238,0.0204372406006,7.6708946228,0.011251449585
85,860,2545,2164,1981-04-01,6.75693225861,0.0318984985352,7.84188604355,0.00947523117065,7.67971372604,0.00881910324097
86,870,2580,2206,1981-07-01,6.76849317551,0.0115609169006,7.85554456711,0.0136585235596,7.69893598557,0.0192222595215
87,830,2620,2225,1981-10-01,6.72142553329,-0.0470676422119,7.87092971802,0.0153851509094,7.70751237869,0.00857639312744
88,801,2639,2235,1982-01-01,6.68586111069,-0.0355644226074,7.87815523148,0.00722551345825,7.71199655533,0.00448417663574
89,824,2618,2237,1982-04-01,6.71417045593,0.0283093452454,7.87016582489,-0.00798940658569,7.71289110184,0.000894546508789
90,831,2628,2250,1982-07-01,6.72263002396,0.00845956802368,7.87397861481,0.00381278991699,7.71868562698,0.00579452514648
91,830,2651,2271,1982-10-01,6.72142553329,-0.00120449066162,7.88269233704,0.008713722229,7.7279753685,0.00928974151611
